price,area,renttype,housetype,floor,community,longtitude,latitude
2600元/月,84㎡,：整租,：3室1厅1卫,未知/6层,整租·花园巷小区 3室1厅 南/北,'116.159825','39.747289'
2800元/月,48㎡,：整租,：1室1厅1卫,未知/6层,整租·云景西里南区 1室1厅 南,'116.667208','39.885232'
2300元/月,42㎡,：整租,：1房间1卫,未知/12层,整租·恒华湖公馆 1房间 南,'116.664571','40.207714'
3500元/月,53㎡,：整租,：2房间1卫,未知/7层,整租·水晶屿 2房间 东,'116.267151','40.218077'
5700元/月,45㎡,：整租,：1室1厅1卫,未知/6层,整租·上地东里 1室1厅 东,'116.320453','40.039032'
5600元/月,56㎡,：整租,：1室1厅1卫,未知/24层,整租·沿海赛洛城二期 1室1厅 南,'116.512347','39.902257'
5700元/月,82㎡,：整租,：2室1厅1卫,未知/25层,整租·金蝉南里 2室1厅 东南/北,'116.508909','39.868786'
2900元/月,82㎡,：整租,：2室1厅1卫,未知/7层,整租·首创悦都汇 2室1厅 南,'116.412296','39.708208'
3600元/月,93㎡,：整租,：2室2厅2卫,未知/6层,整租·上潞园 2室2厅 南/北,'116.692888','39.945754'
5800元/月,51㎡,：整租,：2房间2卫,未知/17层,整租·北京像素北区 2房间 跃层 南,'116.621507','39.933755'
2500元/月,75㎡,：整租,：2室1厅1卫,未知/18层,整租·惠通新苑 2室1厅 南,'116.109926','40.013275'
3500元/月,64㎡,：整租,：2室1厅1卫,未知/12层,整租·东亚印象台湖 2室1厅 南/北,'116.651425','39.843737'
4800元/月,43㎡,：整租,：1室1厅1卫,未知/6层,整租·霞光里30号院 1室1厅 东南,'116.469961','39.965058'
5000元/月,45㎡,：整租,：1室1厅1卫,未知/16层,整租·劲松八区 1室1厅 南,'116.453783','39.887599'
3500元/月,86㎡,：整租,：2室1厅1卫,未知/15层,整租·瀛海家园瑞园E区 2室1厅 南/北,'116.443257','39.766894'
2800元/月,80㎡,：整租,：2室1厅1卫,未知/15层,整租·蓝桥驿苑 2室1厅 南/北,'116.411797','39.717263'
3500元/月,71㎡,：整租,：2室1厅1卫,未知/6层,整租·观音寺南里 2室1厅 东/南/西,'116.35625','39.728719'
5100元/月,44㎡,：整租,：1室1厅1卫,未知/16层,整租·农光南里 1室1厅 南,'116.468902','39.882519'
5600元/月,57㎡,：整租,：2室1厅1卫,未知/6层,整租·红莲北里 2室1厅 南/北,'116.340633','39.891697'
4300元/月,60㎡,：整租,：1室1厅1卫,未知/6层,整租·贵园南里丁区 1室1厅 南,'116.486737','39.799085'
5600元/月,55㎡,：整租,：2室1厅1卫,未知/6层,整租·建材城西二里 2室1厅 南/北,'116.361956','40.068051'
6200元/月,46㎡,：整租,：1室1厅1卫,未知/6层,整租·和平里三区 1室1厅 南,'116.427002','39.962219'
5500元/月,61㎡,：整租,：1室1厅1卫,未知/28层,整租·北京新天地四期 1室1厅 西,'116.612889','39.923544'
3700元/月,53㎡,：整租,：2室1厅1卫,未知/6层,整租·万源南里 2室1厅 南/北,'116.430643','39.804123'
3000元/月,77㎡,：整租,：2室1厅1卫,未知/13层,整租·北郡嘉源 2室1厅 南,'116.283948','40.204033'
3000元/月,60㎡,：整租,：2房间1卫,未知/17层,整租·合生世界花园 2房间 西,'116.561925','39.745913'
5500元/月,35㎡,：整租,：2房间1卫,未知/6层,整租·西山国际城 2房间 西,'116.235511','39.93305'
3450元/月,24㎡,：整租,：1室0厅1卫,未知/26层,整租·荣丰2008 1室0厅 南,'116.343245','39.900529'
5500元/月,50㎡,：整租,：2室1厅1卫,未知/5层,整租·南纬路2号院 2室1厅 南/北,'116.402217','39.884746'
2800元/月,42㎡,：整租,：1室0厅1卫,未知/11层,整租·DBC加州小镇 1室0厅 南,'116.689244','39.873245'
3500元/月,135㎡,：整租,：3室2厅2卫,未知/5层,整租·华远和墅 3室2厅 南/北,'116.407934','39.709971'
2600元/月,39㎡,：整租,：2房间1卫,未知/14层,整租·旭辉E天地 2房间 西北,'116.175752','39.728172'
3900元/月,94㎡,：整租,：2室2厅1卫,未知/6层,整租·五爱屯西街 2室2厅 西南,'116.383047','39.806113'
3800元/月,112㎡,：整租,：2室2厅2卫,未知/6层,整租·拓然家苑 2室2厅 南/北,'116.242836','40.204942'
2700元/月,51㎡,：整租,：1室1厅1卫,未知/28层,整租·顺兴街17号院 1室1厅 南,'116.654921','40.190569'
3000元/月,85㎡,：整租,：2室2厅1卫,未知/6层,整租·裕龙三区 2室2厅 南/北,'116.678194','40.129754'
5800元/月,55㎡,：整租,：2室1厅1卫,未知/6层,整租·复兴路79号院 2室1厅 南/北,'116.277469','39.915102'
6000元/月,49㎡,：整租,：1室0厅1卫,未知/12层,整租·翠微中里 1室0厅 西南,'116.304768','39.92028'
3300元/月,83㎡,：整租,：2室1厅1卫,未知/6层,整租·桃花岛 2室1厅 南/北,'116.665897','39.873868'
3600元/月,46㎡,：整租,：1室0厅1卫,未知/8层,整租·3G木兰 1室0厅 南,'116.440281','39.853629'
3500元/月,61㎡,：整租,：2室1厅1卫,未知/6层,整租·永顺35号院 2室1厅 南/北,'116.659927','39.918943'
2500元/月,51㎡,：整租,：1室1厅1卫,未知/6层,整租·郝庄家园东区 1室1厅 南,'116.218729','40.221509'
5200元/月,52㎡,：整租,：2室1厅1卫,未知/5层,整租·甘家口小区 2室1厅 南/北,'116.336244','39.932195'
2600元/月,85㎡,：整租,：2室1厅1卫,未知/6层,整租·行宫园二里 2室1厅 南,'116.153054','39.754816'
4400元/月,50㎡,：整租,：1房间1卫,未知/13层,整租·恒大领寓 1房间 西,'116.557635','39.851391'
5200元/月,69㎡,：整租,：2室1厅1卫,未知/6层,整租·电建南院 2室1厅 南/北,'116.558882','39.919411'
4200元/月,60㎡,：整租,：2室1厅1卫,未知/6层,整租·八角北里 2室1厅 南,'116.21005','39.919736'
5200元/月,61㎡,：整租,：2室1厅1卫,未知/6层,整租·定福庄北里2号院 2室1厅 南,'116.563861','39.923809'
3100元/月,57㎡,：整租,：2室1厅1卫,未知/5层,整租·兴政东里 2室1厅 南/北,'116.350565','39.733387'
4100元/月,65㎡,：整租,：1室1厅1卫,未知/20层,整租·广安﹒康馨家园 1室1厅 东/西,'116.235582','39.88187'
3200元/月,59㎡,：整租,：1室1厅1卫,未知/5层,整租·西辛南区 1室1厅 南/北,'116.648422','40.137571'
5000元/月,80㎡,：整租,：2室1厅1卫,未知/28层,整租·燕保祈东家园 2室1厅 南,'116.539686','39.859685'
4500元/月,42㎡,：整租,：1室1厅1卫,未知/6层,整租·广安门外南街67号院 1室1厅 南,'116.352032','39.885605'
4300元/月,45㎡,：整租,：1室0厅1卫,未知/17层,整租·叠翠庭苑 1室0厅 东/西,'116.206991','39.942076'
4600元/月,55㎡,：整租,：1室1厅1卫,未知/22层,整租·百合园 1室1厅 南,'116.370835','39.867038'
