index,price,area,renttype,floor,community,longtitude,latitude,bedroom,bathroom,livingroom
0,4600,38,not share,11,ping guo pai ,116.58468,39.935758,1,1,0
1,6000,44,not share,10,shu cun li jing yuan ,116.310324,40.036341,1,1,0
2,5400,77,not share,6,jian cai cheng dong er li ,116.38153100000001,40.069853,2,1,1
3,6000,37,not share,5,che gong zhuang xi lu 20 hao yuan ,116.32858799999998,39.93744,1,1,1
4,5000,46,not share,16,zao lin qian jie ,116.362826,39.889264000000004,1,1,1
5,6000,52,not share,5,shi ji cun xi qu ,116.43616899999999,40.001247,1,1,1
6,2400,26,not share,18,bei jie jia yuan liu qu ,116.26506599999999,40.166068,1,1,0
7,4700,44,not share,29,10AM xin zuo biao ,116.45053,39.874376,1,1,0
8,5500,52,not share,6,xiao nan zhuang she qu ,116.31231000000001,39.971678999999995,1,1,1
9,4600,38,not share,18,an ning jia yuan ,116.334148,40.057145,1,1,0
10,5100,67,not share,32,xin kang yuan ,116.35751299999998,40.0711,1,1,1
11,2700,50,not share,17,bei jing shi dai guang chang ,116.17973400000001,39.730897,2,1,0
12,6000,53,not share,22,mei jing dong fang ,116.47638,39.875690999999996,1,1,1
13,2500,42,not share,5,da yu nan lu ,116.106921,39.939443,1,1,1
14,5300,58,not share,5,ba li zhuang dong li ,116.5047,39.922163,2,1,1
15,4500,78,not share,18,chao feng jia yuan ,116.57278799999999,39.857682000000004,2,1,1
16,5800,41,not share,7,ji men bei li ,116.356955,39.977595,1,1,1
17,6000,37,not share,6,ma dao kou ,116.48190100000001,39.932726,1,1,1
18,2600,66,not share,6,jian hua bei li xiao qu ,116.154591,39.749439,2,1,1
19,3200,72,not share,6,xing zheng dong li ,116.35056499999999,39.733387,2,1,1
20,5300,47,not share,9,liu lang jia yuan bei li ,116.30361599999999,40.038759000000006,1,1,1
21,6000,70,not share,6,ding fu zhuang xi jie ,116.556505,39.918741,3,1,1
22,6000,68,not share,10,liu li tun san qu ,116.260052,40.072607,2,1,0
23,4900,37,not share,5,tai he xiao qu ,116.430677,40.003501,1,1,1
24,2700,27,not share,12,jin de wei wei lai ,116.637901,40.109238,2,1,0
25,3500,44,not share,6,yan xiang xi li ,116.601064,40.051325,1,1,1
26,6000,56,not share,30,10AM xin zuo biao ,116.45053,39.874376,1,1,1
27,2900,39,not share,6,nan ping li ,116.60503500000002,40.051164,1,1,1
28,3500,49,not share,5,he yi dong li si qu ,116.40962900000001,39.822715,2,1,1
29,3000,70,not share,6,tian zhu xin cun ,116.595602,40.047891,2,1,1
30,5100,67,not share,32,xin kang yuan ,116.35751299999998,40.0711,1,1,1
31,2700,50,not share,17,bei jing shi dai guang chang ,116.17973400000001,39.730897,2,1,0
32,2600,66,not share,6,jian hua bei li xiao qu ,116.154591,39.749439,2,1,1
33,3000,70,not share,6,tian zhu xin cun ,116.595602,40.047891,2,1,1
34,4800,59,not share,6,pan jia yuan dong li ,116.462185,39.884984,2,2,1
35,6000,68,not share,10,liu li tun san qu ,116.260052,40.072607,2,1,0
36,2500,42,not share,5,da yu nan lu ,116.106921,39.939443,1,1,1
37,3500,44,not share,6,yan xiang xi li ,116.601064,40.051325,1,1,1
38,2900,39,not share,6,nan ping li ,116.60503500000002,40.051164,1,1,1
39,4400,40,not share,6,qian ni wa xiao qu ,116.31023300000001,39.862237,1,1,1
40,3000,20,not share,1,men lou hu tong ,116.42938600000001,39.941695,1,0,1
41,4500,57,not share,22,jian bang feng jing ,116.26083700000001,39.873276000000004,1,1,1
42,5500,66,not share,12,nong guang dong li ,116.476467,39.888742,2,1,1
43,6000,37,not share,6,ma dao kou ,116.48190100000001,39.932726,1,1,1
44,4500,55,not share,12,shang dong shang ceng ,116.55656699999999,39.952006,1,1,0
45,5800,41,not share,7,ji men bei li ,116.356955,39.977595,1,1,1
46,4500,102,not share,6,ju yuan li ,116.429726,39.793986,3,1,1
47,5300,45,not share,15,jin dou xin yu ,116.50838999999999,39.906428000000005,1,1,0
48,5800,62,not share,6,jin gou he 3 hao yuan ,116.276354,39.924299,2,1,1
49,6000,66,not share,7,kang jia yuan ,116.520858,39.918846,2,1,1
